total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,hosp_patients,new_tests,total_tests,new_tests_smoothed,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,population,extreme_poverty
192639.0,1148.0,922.143,3515.0,18.0,16.714,283.5,6354.0,853829.0,5203.0,565.0,565.0,51605.0,63759.5,2385.0,2968128.0,1.8
219270.0,178.0,343.857,4234.0,9.0,13.571,283.5,2353.0,1014891.0,3409.0,10727.0,10727.0,51605.0,63759.5,261.0,2968128.0,1.8
220860.0,131.0,227.143,4323.0,9.0,12.714,283.5,3160.0,1036673.0,3112.0,19249.0,19249.0,51605.0,63759.5,1217.0,2968128.0,1.8
221948.0,68.0,155.429,4392.0,6.0,9.857,283.5,2963.0,1060108.0,3348.0,26562.0,26562.0,51605.0,63759.5,1045.0,2968128.0,1.8
222636.0,81.0,98.286,4432.0,4.0,5.714,283.5,2771.0,1081305.0,3028.0,33529.0,33529.0,51605.0,63759.5,995.0,2968128.0,1.8
223180.0,37.0,77.714,4458.0,4.0,3.714,283.5,2754.0,1102551.0,3035.0,46503.0,46503.0,51605.0,63759.5,1853.0,2968128.0,1.8
223723.0,41.0,73.0,4488.0,4.0,3.571,283.5,2353.0,1127455.0,3208.0,55557.0,77449.0,51605.0,63759.5,1132.0,2968128.0,1.8
224227.0,60.0,77.857,4498.0,2.0,2.0,283.5,3410.0,1149863.0,3537.0,64293.0,52509.0,11784.0,63759.5,1410.0,2968128.0,1.8
224797.0,69.0,81.429,4508.0,2.0,1.429,283.5,3755.0,1174852.0,3570.0,74714.0,58518.0,16196.0,63759.5,1489.0,2968128.0,1.8
226388.0,103.0,119.286,4544.0,2.0,2.571,283.5,4630.0,1234695.0,4710.0,108107.0,77449.0,30658.0,63759.5,2385.0,2968128.0,1.8
227430.0,132.0,148.857,4566.0,7.0,3.143,283.5,3410.0,1267617.0,4703.0,131080.0,94560.0,36520.0,63759.5,3282.0,2968128.0,1.8
228798.0,166.0,195.429,4587.0,3.0,3.0,283.5,3410.0,1162357.5,5337.0,152529.0,108674.0,43855.0,63759.5,3064.0,2968128.0,1.8
230339.0,229.0,220.143,4619.0,5.0,4.571,283.5,6077.0,1346335.0,5908.0,171890.0,120285.0,51605.0,63759.5,2766.0,2968128.0,1.8
232157.0,234.0,259.714,4650.0,9.0,4.429,283.5,6748.0,1392050.0,6531.0,194902.0,132529.0,62373.0,63759.5,3287.0,2968128.0,1.8
234558.0,331.0,343.0,4695.0,10.0,6.429,283.5,6062.0,1434732.0,6097.0,220236.0,144573.0,75663.0,63759.5,3619.0,2968128.0,1.8
